"""3550";Description: Area, square yards;"AREA (yd<sup>2</sup>), log""";
"""3560";Description: Net weight, troy ounces (variable measure trade item);"NET WEIGHT (t oz)""";
"""3570";Description: Net weight (or volume), ounces (variable measure trade item);"NET VOLUME (oz)""";
"""3600";Description: Net volume, quarts (variable measure trade item);"NET VOLUME (qt)""";
"""3610";Description: Net volume, gallons U.S. (variable measure trade item);"NET VOLUME (gal.)""";
"""3620";Description: Logistic volume, quarts;"VOLUME (qt), log""";
"""3630";Description: Logistic volume, gallons U.S.;"VOLUME (gal.), log""";
"""3640";Description: Net volume, cubic inches (variable measure trade item);"VOLUME (in<sup>3</sup>)""";
"""3650";Description: Net volume, cubic feet (variable measure trade item);"VOLUME (ft<sup>3</sup>)""";
"""3660";Description: Net volume, cubic yards (variable measure trade item);"VOLUME (yd<sup>3</sup>)""";
"""3670";Description: Logistic volume, cubic inches;"VOLUME (in<sup>3</sup>), log""";
"""3680";Description: Logistic volume, cubic feet;"VOLUME (ft<sup>3</sup>), log""";
"""3690";Description: Logistic volume, cubic yards;"VOLUME (yd<sup>3</sup>), log""";
"""3101";Description: Net weight, kilograms (variable measure trade item);"NET WEIGHT (kg)""";
"""3111";Description: Length or first dimension, metres (variable measure trade item);"LENGTH (m)""";
"""3121";Description: Width, diameter, or second dimension, metres (variable measure trade item);"WIDTH (m)""";
"""3131";Description: Depth, thickness, height, or third dimension, metres (variable measure trade item);"HEIGHT (m)""";
"""3141";Description: Area, square metres (variable measure trade item);"AREA (m<sup>2</sup>)""";
"""3151";Description: Net volume, litres (variable measure trade item);"NET VOLUME (l)""";
"""3161";Description: Net volume, cubic metres (variable measure trade item);"NET VOLUME (m<sup>3</sup>)""";
"""3201";Description: Net weight, pounds (variable measure trade item);"NET WEIGHT (lb)""";
"""3211";Description: Length or first dimension, inches (variable measure trade item);"LENGTH (in)""";
"""3221";Description: Length or first dimension, feet (variable measure trade item);"LENGTH (ft)""";
"""3231";Description: Length or first dimension, yards (variable measure trade item);"LENGTH (yd)""";
"""3241";Description: Width, diameter, or second dimension, inches (variable measure trade item);"WIDTH (in)""";
"""3251";Description: Width, diameter, or second dimension, feet (variable measure trade item);"WIDTH (ft)""";
"""3261";Description: Width, diameter, or second dimension, yards (variable measure trade item);"WIDTH (yd)""";
"""3271";Description: Depth, thickness, height, or third dimension, inches (variable measure trade item);"HEIGHT (in)""";
"""3281";Description: Depth, thickness, height, or third dimension, feet (variable measure trade item);"HEIGHT (ft)""";
"""3291";Description: Depth, thickness, height, or third dimension, yards (variable measure trade item);"HEIGHT (yd)""";
"""3301";Description: Logistic weight, kilograms;"GROSS WEIGHT (kg)""";
"""3311";Description: Length or first dimension, metres;"LENGTH (m), log""";
"""3321";Description: Width, diameter, or second dimension, metres;"WIDTH (m), log""";
"""3331";Description: Depth, thickness, height, or third dimension, metres;"HEIGHT (m), log""";
"""3341";Description: Area, square metres;"AREA (m<sup>2</sup>), log""";
"""3351";Description: Logistic volume, litres;"VOLUME (l), log""";
"""3361";Description: Logistic volume, cubic metres;"VOLUME (m<sup>3</sup>), log""";
"""3371";Description: Kilograms per square metre;"KG PER m<sup>2</sup>""";
"""3401";Description: Logistic weight, pounds;"GROSS WEIGHT (lb)""";
